"OMSTenantId","OrganizationName","Country","StorageTB","LicensesEnabled","LicensesAcquired","LicenseToEnabledRatio","SignalCount","ImpersonationRiskScore","RiskTier","IsBrandNamePattern","IsInstitutionNamePattern","IsFakeNameHint","PooledProvisioningPlausible","TriageLane"
"010b35c2-324e-42d7-bbdf-40e903b3b681","VENUS INTERNATIONAL SCHOOL","India","2.048","1","2010000","2010000","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"584c51f7-346c-4f74-bd68-d60fb7c7e858","SVVRL, IM, NATIONAL TAIWAN UNIVERSITY","Taiwan","1.937","3","3000000","1000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"dfb32e30-ab12-4594-962a-077ecc70e754","GROTIUS COLLEGE","Netherlands","1.915","0","2000446","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"47bded3b-f46a-47e5-9df9-c84a40de570a","PO LEUNG KU CENTENARY LI SHIU CHUNG MEMORIAL COLLEGE","Hong Kong SAR","1.903","5","1500000","300000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"f0736bdb-1d7a-4018-8878-34b0d60cc7b3","HET VEENLANDEN COLLEGE","Netherlands","1.867","1","1001801","1001801","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"3569e3a6-a826-411b-b45f-be13f919a412","SUNRISE INTERNATIONAL SCHOOL","Egypt","1.761","2","3000000","1500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"48a5af47-ebdd-454f-b90f-c724892a14cd","PHEASANT BANK ACADEMY","United Kingdom","1.742","8","4000000","500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"dd02bfd7-330d-4fce-a096-ac47f3b37657","BISHOP ULLATHORNE CATHOLIC SCHOOL","United Kingdom","1.694","5","3000000","600000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"2082b4b5-d47d-465f-8b05-94149b2e6006","PROSPER INDEPENDENT SCHOOL DISTRICT","United States","1.543","7","1061000","151571.43","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"42831356-33fd-4119-a6ee-65726ca6ba57","A SCHOOL","United Kingdom","1.537","8","3000000","375000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"d779e0cb-0bf0-462b-b7a5-ad481ff7949b","MOHOLY-NAGY UNIVERSITY OF ART AND DESIGN BUDAPEST","Hungary","1.497","2","1505000","752500","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"99430b10-b59f-4469-bd7c-f3cac1a56d1b","SHRI MAHAVIR JAIN ENGLISH SCHOOL","India","1.464","8","1000003","125000.38","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"1c49278f-f2ef-49ef-ab5b-8488628a1a44","SCHOOL 5","Mongolia","1.451","1","3000002","3000002","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"797e83ca-ca32-4ecb-9962-86c032e64d70","SNBP SCHOOL","India","1.443","2","3200000","1600000","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"8e93bb25-ec61-47af-8752-194f853d9aee","PAOC KA CHI SECONDARY SCHOOL","Hong Kong SAR","1.398","7","1500000","214285.71","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"dd495800-db86-445e-9bb7-8a551fc56116","EAST LONDON SCIENCE SCHOOL","United Kingdom","1.372","6","3000000","500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"b4f4aa23-6939-41be-86ac-7b20af6ef1cf","DELHI PUBLIC SCHOOL","India","1.35","4","3000000","750000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"4fe5e878-022f-4bb3-a690-66ec4fd59b45","ALL HALLOWS SCHOOL","United Kingdom","1.316","2","3000000","1500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"c358559b-770d-4089-9cd7-e31147736c11","BISHOP DAVID BROWN SCHOOL","United Kingdom","1.304","1","3000000","3000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"5648031e-5233-45d3-b2ae-a6168293e31f","BISHOPSTROW COLLEGE","United Kingdom","1.301","4","3000004","750001","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"0f09c6ca-1543-4821-ad33-851fd75849a7","FAIRFIELD HIGH SCHOOL FOR GIRLS","United Kingdom","1.268","9","3000000","333333.33","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"445247d8-5a36-4602-9bec-f75e2109b6a1","SANSKRITI SCHOOL","India","1.26","1","3000000","3000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"1acdba6f-ea21-4ed4-b315-5b4e616eb23d","HERZING COLLEGE","Canada","1.247","1","1000500","1000500","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"b8195bb5-6ba6-45e3-bf90-366d6fdc0cfb","STEPHEN GAYNOR SCHOOL","United States","1.2","6","3001000","500166.67","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"59b49166-53c9-4e3d-b46c-4f0a975e56a4","NORTHERN REGIONAL COLLEGE","Ireland","1.185","3","1500000","500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"b62fc5af-16bc-4421-9b0c-acb55f9c9740","HEARTS AND MINDS HOMESCHOOL ACADEMY","United States","1.182","3","3000000","1000000","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"3e8d3f38-302d-4fcd-a710-e49a37cc71c1","THE WELLSPRING SCHOOL, RAS AL KHAIMAH","United Arab Emirates","1.153","3","3000000","1000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
